date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:32:06	30531/30531	---M-Z	200	added ('OK')	text/html	date:Mon,%2005%20May%202025%2021:31:22%20GMT	https://appminhacoroa.site/	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/index.html	(from )
23:32:07	119/119	---MC-	200	added ('OK')	text/plain	date:Tue,%2008%20Jul%202025%2002:32:11%20GMT	https://appminhacoroa.site/robots.txt		(from )
23:32:07	33963/33963	---MCZ	200	added ('OK')	text/javascript	etag:W/%2268be9ee67f3ec5fde0c77eecd73fcfec%22	https://cdn.utmify.com.br/scripts/pixel/pixel.js	C:/My%20Web%20Sites/Segredinho%20vip/cdn.utmify.com.br/scripts/pixel/pixel.js	(from https://appminhacoroa.site/)
23:32:07	13153/13153	---MCZ	200	added ('OK')	text/javascript	etag:W/%2293868e5f0e1579c3c4ebe054aaf10427%22	https://cdn.utmify.com.br/scripts/utms/latest.js	C:/My%20Web%20Sites/Segredinho%20vip/cdn.utmify.com.br/scripts/utms/latest.js	(from https://appminhacoroa.site/)
23:32:08	59452/59452	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2002:32:12%20GMT	https://appminhacoroa.site/wp-content/themes/hello-elementor/style.min.css<link%20rel=	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/themes/hello-elementor/style.min.2.delayed	(from https://appminhacoroa.site/)
23:32:10	59452/59452	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2002:32:14%20GMT	https://appminhacoroa.site/wp-content/themes/hello-elementor/theme.min.css<link%20rel=	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/themes/hello-elementor/theme.min.3.delayed	(from https://appminhacoroa.site/)
23:32:11	59452/59452	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2002:32:15%20GMT	https://appminhacoroa.site/wp-content/themes/hello-elementor/header-footer.min.css<link%20rel=	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/themes/hello-elementor/header-footer.min.4.delayed	(from https://appminhacoroa.site/)
23:32:12	59452/59452	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2002:32:16%20GMT	https://appminhacoroa.site/wp-content/plugins/elementor/assets/css/frontend.min.css<link%20rel=	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/plugins/elementor/assets/css/frontend.min.5.delayed	(from https://appminhacoroa.site/)
23:32:13	59452/59452	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2002:32:17%20GMT	https://appminhacoroa.site/wp-content/uploads/elementor/css/post-7.css<link%20rel=	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/uploads/elementor/css/post-7.6.delayed	(from https://appminhacoroa.site/)
23:32:14	59452/59452	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2002:32:18%20GMT	https://appminhacoroa.site/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css<link%20rel=	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.7.delayed	(from https://appminhacoroa.site/)
23:32:15	59452/59452	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2002:32:19%20GMT	https://appminhacoroa.site/wp-content/plugins/elementor-pro/assets/css/frontend.min.css<link%20rel=	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/plugins/elementor-pro/assets/css/frontend.min.8.delayed	(from https://appminhacoroa.site/)
23:32:16	59452/59452	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2002:32:20%20GMT	https://appminhacoroa.site/wp-content/uploads/elementor/css/post-1076.css<link%20rel=	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/uploads/elementor/css/post-1076.9.delayed	(from https://appminhacoroa.site/)
23:32:17	59452/59452	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2002:32:21%20GMT	https://appminhacoroa.site/wp-content/uploads/elementor/google-fonts/css/roboto.css<link%20rel=	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/uploads/elementor/google-fonts/css/roboto.a.delayed	(from https://appminhacoroa.site/)
23:32:18	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20Jul%202025%2002:32:22%20GMT	https://appminhacoroa.site/wp-content/uploads/elementor/google-fonts/css/robotoslab.css<link%20rel=%22https://api.w.org/%22%20href=%22https://minhacoroaplus.site/wp-json/%22%20/><link%20rel=%22alternate%22%20title=%22JSON%22%20type=%22application/json%22%20href=%22https://minhacoroaplus.site/wp-json/wp/v2/pages/1076%22%20/><link%20rel=%22EditURI%22%20type=%22application/rsd+xml%22%20title=%22RSD%22%20href=%22https://minhacoroaplus.site/xmlrpc.php?rsd%22%20/><meta%20name=%22generator%22%20content=%22WordPress%206.8.1%22%20/><link%20rel=%22canonical%22%20href=%22index.html%22%20/><link%20rel=	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/uploads/elementor/google-fonts/css/robotoslab.css_link%20rel=_https_/api.w.org/_%20href=_https_/minhacoroaplus.site/wp-json/_/__link%20rel=_alternate_%20title=_JSO/xmlrpc.b7ac1.delaye	(from https://appminhacoroa.site/)
23:32:18	125020/125020	---M--	200	added ('OK')	image/png	date:Mon,%2005%20May%202025%2021:36:59%20GMT	https://appminhacoroa.site/wp-content/uploads/2025/04/logoCoroa.png	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/uploads/2025/04/logoCoroa.png	(from https://appminhacoroa.site/)
23:32:18	35633/35633	---M-Z	200	added ('OK')	text/html	date:Mon,%2005%20May%202025%2021:31:22%20GMT	https://appminhacoroa.site/bem-vindo.html	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/bem-vindo.html	(from https://appminhacoroa.site/)
23:32:19	59452/59452	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2002:32:23%20GMT	https://appminhacoroa.site/wp-content/themes/hello-elementor/assets/js/hello-frontend.min.js	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/themes/hello-elementor/assets/js/hello-frontend.min.e.delayed	(from https://appminhacoroa.site/)
23:32:20	59452/59452	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2002:32:24%20GMT	https://appminhacoroa.site/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min.js	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min.f.delayed	(from https://appminhacoroa.site/)
23:32:21	5407/5407	---M--	200	added ('OK')	application/javascript	date:Fri,%2002%20May%202025%2023:14:19%20GMT	https://appminhacoroa.site/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js	(from https://appminhacoroa.site/)
23:32:22	87553/87553	---M--	200	added ('OK')	application/javascript	date:Mon,%2028%20Aug%202023%2020:14:24%20GMT	https://appminhacoroa.site/wp-includes/js/jquery/jquery.min.js	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-includes/js/jquery/jquery.min.js	(from https://appminhacoroa.site/)
23:32:22	13577/13577	---M--	200	added ('OK')	application/javascript	date:Fri,%2009%20Jun%202023%2008:49:24%20GMT	https://appminhacoroa.site/wp-includes/js/jquery/jquery-migrate.min.js	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-includes/js/jquery/jquery-migrate.min.js	(from https://appminhacoroa.site/)
23:32:23	48393/48393	---M--	200	added ('OK')	application/javascript	date:Fri,%2002%20May%202025%2023:14:19%20GMT	https://appminhacoroa.site/wp-content/plugins/elementor/assets/js/frontend-modules.min.js	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/plugins/elementor/assets/js/frontend-modules.min.js	(from https://appminhacoroa.site/)
